query,gold,answer,abstained,trigger,recoveries,ev_score,groundedness_score,trust_score,latency
who was president of eth in 2003?,olaf kübler,,True,trust_failure,0,1.0,0.0,0.4,4.0289318561553955
wer war 2003 praesident von eth?,olaf kuebler,,True,trust_failure,2,1.0,0.0,0.4,10.675806045532227
who were the rectors of eth between 2017 and 2022?,"sarah springman, günther dissertori.",,True,trust_failure,0,0.95,0.0,0.38,4.093976259231567
wer waren die rektoren von eth zwischen 2017 und 2022?,"sarah springman, guenther dissertori.",,True,trust_failure,0,0.925,0.0,0.37000000000000005,4.764528751373291
who at eth received erc grants?,"european research council grants: tobias donner, eliot ash, ursula keller, klaus ensslin, yiwen chu, judit szuláovi, sebaszno cantalupo, veerle sterken, rachel granoe, paolo crivelli, chriszan degen, jonathan home, lavinia heisenberg, tilman esslinger, ....","ETH Zurich researchers have received a total of 150 ERC grants (including 114 million Swiss francs in advanced grants and 46 million Swiss francs in starting grants). The names of some of the researchers who have received these grants are mentioned in the context, such as Tilman Esslinger, who received a second advanced grant.",False,,0,1.0,1.0,1.0,7.477809190750122
wer erhielt bei eth zuschuesse?,"europaeischer forschungsrat gewaehrt: tobias donner, eliot ash, ursula keller, klaus ensslin, yiwen chu, judit szuláovi, sebaszno cantalupo, veerle sterken, rachel granoe, paolo crivelli, chriszan degen, jonathan home, lavinia heisenberg, tilman esslinger, ....","The event received support from the Swiss School Board, the ETH Board and ETH domain with its two federal institutes of technology and four research institutes, the State Secretariat for Education, Research and Innovation, and numerous partners from the economy and charitable foundations. (context)

Therefore, the question ""wer recibió apoyos en eth?"" (who received sponsorships at eth?) can be answered with ""The event received sponsorships from various organizations and institutions, as mentioned in the context.""

However, the context does not provide specific information about individuals who received sponsorships or",False,,0,0.9,1.0,0.96,11.534324645996094
when did the insight get to mars?,26 november 2018,,True,trust_failure,0,0.9167,0.0,0.36668,3.414377212524414
wann kam die einsicht zu mars?,26. november 2018,,True,trust_failure,0,0.8,0.0,0.32000000000000006,3.7259199619293213
what did prof. schubert say about flying?,"flying is too cheap. if we want to reduce flying, surcharges on air fares are certainly a step in the right direction.","Prof. Schubert expressed concerns about the high ticket prices in train travel compared to the competitive and low-priced air travel market. She also suggested a new approach to air travel, implying dissatisfaction with relying solely on price signals to address the issue. (Context)",False,,0,1.0,1.0,1.0,6.1133832931518555
was hat prof. schubert ueber das fliegen gesagt?,"das fliegen ist zu billig. wenn wir das fliegen reduzieren wollen, sind die zuschlaege auf die flugpreise sicherlich ein schritt in die richtige richtung.",,True,trust_failure,0,0.8214,0.0,0.32856,4.7689738273620605
what is e-sling?,"4-seated electric airplane, built by 20 electrical and mechanical engineering students at eth zurich.",,True,trust_failure,0,0.75,0.0,0.30000000000000004,3.080889940261841
